id,publisher,publisher_id
457550,"Bigscreen, Inc.",2080264119
545110,IObit,-1887881120
61700,Ubisoft,-2080260409
712840,Paradise Project,1622086923
363360,Split Polygon,-772246352
420790,Crunchy Games,757045930
335620,Trese Brothers,1421408379
368360,Robot Gentleman,-2120291023
370730,"KOEI TECMO GAMES CO., LTD.",-482308940
570420,Egosoft,690757844
73010,Paradox Interactive,-1113012495
204340,Devolver Digital,-1539353560
393080,Activision,-1606173463
523120,MAGIX Software GmbH,-2071334189
382900,Square Enix,-1704654576
239120,Square Enix,-1704654576
71250,SEGA,1417143641
63910,1C Entertainment,-205584709
513620,Sometimes You,899874185
22350,Bethesda Softworks,-950390578
485980,Cats Who Play,352297325
252110,Asteroid Base,721423543
98800,"Gaslamp Games, Inc.",-987508576
316790,Double Fine Productions,-439660312
555160,davevillz,-237872605
3720,Rebellion,1866442855
253430,DigitalDNA Games LLC,-110131702
285010,DL Softworks,507793820
238750,Ubisoft,-2080260409
577230,LongYou Tech Ltd,-1387671118
546400,White Dog,1972094523
293780,Powerhoof,-729037914
321410,Slitherine Ltd.,1265343134
460120,Idea Factory International,519533785
15320,1C Entertainment,-205584709
506610,Scott Cawthon,-2117831889
404680,Runic Games,264526409
353270,Idea Factory,-634701389
353270,Idea Factory International,519533785
436320,Survios,-1848418516
6800,Kalypso Media Digital,-1048555646
745880,"Mediascape Co., Ltd.",553840684
214420,Doctor Entertainment AB,1447752287
551730,"KOEI TECMO GAMES CO., LTD.",-482308940
383180,Deep Silver,1887085205
262940,Revolution Software Ltd,-885927050
503770,Wenkly Studio Sp. z o.o.,918907484
25000,Wolfire Games,1914899706
550340,MangaGamer,1548869666
6910,Square Enix,-1704654576
327140,Google,601460045
224760,Trapdoor,-676274472
3480,"PopCap Games, Inc.",-997102652
315460,Gaddy Games,243270811
224500,Robotronic Games,-337819223
233720,Bossa Studios,370177755
16450,Warner Bros. Interactive Entertainment,-750143379
8000,Square Enix,-1704654576
8000,Feral Interactive,-1186516368
50620,THQ Nordic,424105505
203680,Codemasters,-742141607
452570,Adult Swim Games,-326115944
363090,"KOEI TECMO GAMES CO., LTD.",-482308940
580200,Prideful Sloth,-141137458
67370,2K,-12454423
562810,Ubisoft,-2080260409
434030,IPACS,-1664048292
337950,Eforb,-1385049420
457710,Faton,-1021505520
263760,Secret Exit Ltd.,574315168
404540,Housemarque,1185414110
583470,Edmund McMillen,364773581
583470,Tyler Glaiel,-223427579
15700,Oddworld Inhabitants,1643573183
412050,Zenz VR,795726651
703700,NVLMaker,-1270132633
10270,Kalypso Media Digital,-1048555646
388880,Night School Studio,-33222040
254300,Ankama Games,434520961
528200,MAGIX Software GmbH,-2071334189
219830,Transhuman Design,1007642988
206440,Freebird Games,809804092
248860,Blue Bottle Games,-1273582057
65790,Bohemia Interactive,1799739398
39190,Square Enix,-1704654576
569860,Terrible Toybox,-88748054
12150,Rockstar Games,976899290
25830,Paradox Interactive,-1113012495
41000,Devolver Digital,-1539353560
397100,G2CREW,1091447377
311770,Disney Interactive,-483919086
468070,Isokron,2071268763
269330,Bedtime Digital Games,-1765634126
260430,Digital Leisure Inc.,-139140765
577940,Xbox Game Studios,-1251139035
327860,Lavaboots Studios,1409591351
340000,Adult Swim Games,-326115944
251950,Cornered Rat Software,856034953
22130,Paradox Interactive,-1113012495
92800,Zachtronics,-429104399
104900,DANKIE,981778681
237850,Red Thread Games,-1172722735
327090,Space Boat Studios,1103027340
394230,2K,-12454423
461880,Sometimes You,899874185
1200,Tripwire Interactive,-644447441
368230,Raw Fury,-761751110
595420,Out of the Park Developments,-1218976638
21000,Warner Bros. Interactive Entertainment,-750143379
236090,Xbox Game Studios,-1251139035
317360,Double Action Factory,1425078744
282400,THQ Nordic,424105505
449800,"KOEI TECMO GAMES CO., LTD.",-482308940
11450,Codemasters,-742141607
40700,Amanita Design,2137758631
517160,Toast,1333027783
521150,The Quadsphere,-1526909954
24840,Electronic Arts,560145306
580420,KrupinskiArt,1593248591
384740,Ionized Games,124158449
425580,Fireproof Games,-1007691307
527100,Ubisoft,-2080260409
205990,Paradox Interactive,-1113012495
298030,Wargaming.net,-1612256268
